Day, Profit, AvgWaitAll, AvgWaitPrivilege, AvgWaitRegular
604, 5550, 163.94, 16.81, 319.49
605, 5280, 197.75, 19.82, 368.87
606, 5700, 253.56, 47.81, 455.06
607, 5460, 162.88, 21.93, 314.66
608, 4470, 139.17, 11.49, 249.13
609, 5670, 117.83, 7.33, 250.01
610, 5220, 174.74, 27.22, 317.35
611, 5130, 216.03, 9.53, 386.62
612, 5190, 212.78, 24.51, 380.68
613, 5700, 132.93, 9.12, 279.97
614, 4920, 173.17, 20.88, 303.25
615, 6330, 198.23, 22.48, 392.39
616, 4710, 188.56, 9.71, 333.30
617, 4800, 186.30, 9.96, 320.66
618, 5220, 160.78, 7.26, 296.37
619, 5040, 182.81, 16.76, 342.22
620, 6000, 189.83, 24.18, 373.89
621, 4740, 185.02, 37.72, 311.51
622, 4560, 125.56, 8.51, 214.96
623, 4890, 172.31, 10.99, 310.70
624, 5370, 150.49, 14.28, 295.63
625, 5310, 196.54, 29.64, 368.30
626, 5310, 158.65, 8.83, 297.49
627, 4950, 169.74, 7.75, 321.60
628, 5730, 235.96, 40.95, 410.83
629, 5340, 157.28, 13.78, 304.93
630, 5490, 190.90, 14.67, 348.99
631, 5370, 183.31, 15.20, 351.41
632, 5820, 214.24, 32.80, 404.50
633, 5790, 190.11, 27.61, 357.83
634, 4680, 185.81, 13.33, 314.55
635, 4740, 152.19, 9.25, 281.24
636, 5280, 159.13, 12.28, 312.07
637, 5190, 203.43, 12.21, 376.64
638, 6060, 239.38, 64.56, 443.51
639, 5430, 173.66, 28.36, 325.69
640, 5190, 171.81, 9.57, 328.62
641, 5760, 180.25, 23.98, 354.70
642, 5460, 167.79, 15.97, 316.35
643, 4980, 187.35, 14.02, 343.73
644, 5580, 177.06, 16.66, 340.10
645, 5100, 176.16, 11.68, 321.04
646, 5250, 169.49, 10.86, 327.21
647, 5850, 218.36, 19.31, 429.30
648, 4740, 171.81, 14.93, 310.29
649, 4980, 199.96, 19.56, 351.20
650, 5460, 197.76, 23.22, 374.24
651, 6060, 222.97, 29.72, 433.98
652, 4800, 202.74, 25.29, 351.38
653, 5490, 147.79, 14.12, 284.44
654, 5790, 173.23, 21.73, 324.73
655, 5160, 161.82, 10.00, 311.90
656, 5010, 206.47, 16.96, 382.29
657, 4860, 194.92, 31.17, 335.28
658, 5040, 121.81, 6.73, 249.86
659, 5610, 168.70, 10.93, 353.08
660, 5040, 190.94, 12.16, 350.69
661, 5250, 158.11, 7.30, 295.58
